ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2016,"2016","23","Construction","true","true",27220,63350.94173401911,8618.666320993147,4050.2034311751804,1258,"Communications","09"
2016,"2016","5413","Architectural, engineering & related services","true","true",14152,69692.51377897117,10378.550432576105,2920.531150174629,701,"Communications","09"
2016,"2016","5415","Computer Systems Design","true","true",50050,90339.89104895105,8307.427261202733,5491.608902539124,2401,"Communications","09"
2016,"2016","6111","Elementary & secondary schools","true","true",141850,46858.077729996476,1947.9997440486798,9242.097846983292,7340,"Communications","09"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",116707,52557.348513799516,2961.2679304948006,8383.843351867012,5881,"Communications","09"
2015,"2015","23","Construction","true","true",25990,63362.939746056174,9190.093110615078,3957.6480006526035,1210,"Communications","09"
2015,"2015","5413","Architectural, engineering & related services","true","true",13158,69482.2253381973,11319.612743530146,2816.1065216676343,636,"Communications","09"
2015,"2015","5415","Computer Systems Design","true","true",43634,88012.38591465371,8616.461999812183,5127.655991849704,2052,"Communications","09"
2015,"2015","6111","Elementary & secondary schools","true","true",134380,46301.00125762762,1879.470800995907,8995.625842198773,6960,"Communications","09"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",113366,52362.88523896054,3142.606890279383,8263.013035304912,5696,"Communications","09"
2014,"2014","23","Construction","true","true",24790,65056.28297700686,10300.648543999729,3865.213760776708,1160,"Communications","09"
2014,"2014","5413","Architectural, engineering & related services","true","true",12767,67061.99177567166,10561.823145698738,2773.9513713240017,611,"Communications","09"
2014,"2014","5415","Computer Systems Design","true","true",39599,87541.50660370212,8827.87233297665,4884.878433112708,1877,"Communications","09"
2014,"2014","6111","Elementary & secondary schools","true","true",131212,46270.31385848855,1908.3274838524278,8888.988758642385,6825,"Communications","09"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",108229,52160.76958116586,3174.9941113961486,8073.726927458846,5421,"Communications","09"
2020,"2020","23","Construction","true","true",43473,60160.68764520507,6420.893520363185,5118.2426219453,2075,"Visual & Performing Arts","50"
2020,"2020","5413","Architectural, engineering & related services","true","true",35841,71811.4227560615,6760.877843613498,4647.42410444599,1789,"Visual & Performing Arts","50"
2020,"2020","5415","Computer Systems Design","true","true",61543,97301.90515574477,7582.469264131125,6089.391739969856,2898,"Visual & Performing Arts","50"
2020,"2020","6111","Elementary & secondary schools","true","true",195233,51553.30744290156,1870.8198750112306,10840.89597720253,10010,"Visual & Performing Arts","50"
2020,"2020","611M1","Colleges, universities & professional schools, including junior colleges","true","true",154026,56159.894693103764,2969.702116933241,9630.437549049542,7859,"Visual & Performing Arts","50"
2019,"2019","23","Construction","true","true",41273,62009.6842487825,7382.6027687112155,4987.087567017499,2034,"Visual & Performing Arts","50"
2019,"2019","5413","Architectural, engineering & related services","true","true",33516,70742.99597207304,6919.65327203313,4494.190643598864,1728,"Visual & Performing Arts","50"
2019,"2019","5415","Computer Systems Design","true","true",54669,91143.66897144634,7446.969273649986,5739.377726762337,2699,"Visual & Performing Arts","50"
2019,"2019","6111","Elementary & secondary schools","true","true",191283,50484.51894313661,1932.1856708744929,10730.77519861889,10144,"Visual & Performing Arts","50"
2019,"2019","611M1","Colleges, universities & professional schools, including junior colleges","true","true",148913,55480.9528583804,2864.248025578,9469.38291239036,7946,"Visual & Performing Arts","50"
2018,"2018","23","Construction","true","true",38278,59982.894952714356,7471.369203600629,4802.774342135671,1883,"Visual & Performing Arts","50"
2018,"2018","5413","Architectural, engineering & related services","true","true",32101,66888.90931746675,6566.885780908871,4398.312415877996,1614,"Visual & Performing Arts","50"
2018,"2018","5415","Computer Systems Design","true","true",50590,87299.08039138169,7540.2703997529015,5521.174867741311,2464,"Visual & Performing Arts","50"
2018,"2018","6111","Elementary & secondary schools","true","true",184477,49374.724843747455,1903.6501874867183,10538.288501998912,9800,"Visual & Performing Arts","50"
2018,"2018","611M1","Colleges, universities & professional schools, including junior colleges","true","true",144319,53834.312148781515,2843.9262888719527,9322.250970242925,7653,"Visual & Performing Arts","50"
2017,"2017","23","Construction","true","true",35763,58650.30162458407,7725.6668838582145,4642.346247742358,1722,"Visual & Performing Arts","50"
